time,Karpos
2019-03-27 10:00:00,4.5975
2019-03-27 11:00:00,3.6387
2019-03-27 12:00:00,3.2241
2019-03-27 13:00:00,3.1085
2019-03-27 14:00:00,2.6211
2019-03-27 15:00:00,2.4807
2019-03-27 16:00:00,2.103
2019-03-27 17:00:00,2.0135
2019-03-27 18:00:00,1.7405
2019-03-27 19:00:00,1.7352
2019-03-27 20:00:00,2.6528
2019-03-27 21:00:00,1.9504
2019-03-27 22:00:00,1.2637
2019-03-27 23:00:00,1.8383
2019-03-28 00:00:00,2.0122
2019-03-28 01:00:00,3.2993
2019-03-28 02:00:00,5.0853
2019-03-28 03:00:00,4.6327
2019-03-28 04:00:00,5.2585
2019-03-28 05:00:00,4.7491
2019-03-28 06:00:00,4.5098
2019-03-28 07:00:00,3.9416
2019-03-28 08:00:00,8.8276
2019-03-28 09:00:00,7.5834
2019-03-28 10:00:00,5.4348
2019-03-28 11:00:00,4.6139
2019-03-28 12:00:00,3.6382
2019-03-28 13:00:00,3.796
2019-03-28 14:00:00,3.1178
2019-03-28 15:00:00,2.7166
2019-03-28 16:00:00,2.5342
2019-03-28 17:00:00,2.5337
2019-03-28 18:00:00,3.5673
2019-03-28 19:00:00,1.9895
2019-03-28 20:00:00,1.4718
2019-03-28 21:00:00,1.1041
2019-03-28 22:00:00,1.2693
2019-03-28 23:00:00,2.0705
2019-03-29 00:00:00,1.8349
2019-03-29 01:00:00,1.4143
2019-03-29 02:00:00,1.1494
2019-03-29 03:00:00,1.1038
2019-03-29 04:00:00,1.1315
2019-03-29 05:00:00,0.994
2019-03-29 06:00:00,0.7466
2019-03-29 07:00:00,1.0028
2019-03-29 08:00:00,1.9415
2019-03-29 09:00:00,5.7645
2019-03-29 10:00:00,1.7746
2019-03-29 11:00:00,1.5729
2019-03-29 12:00:00,1.3504
2019-03-29 13:00:00,1.2408
2019-03-29 14:00:00,0.8997
2019-03-29 15:00:00,1.6021
2019-03-29 16:00:00,2.1474
2019-03-29 17:00:00,2.3373
2019-03-29 18:00:00,2.6371
2019-03-29 19:00:00,3.6347
2019-03-29 20:00:00,5.1939
2019-03-29 21:00:00,5.1107
2019-03-29 22:00:00,3.2882
2019-03-29 23:00:00,2.3551
2019-03-30 00:00:00,2.678
2019-03-30 01:00:00,1.9834
2019-03-30 02:00:00,1.7655
2019-03-30 03:00:00,2.3674
2019-03-30 04:00:00,2.8368
2019-03-30 05:00:00,1.9857
2019-03-30 06:00:00,1.7982
2019-03-30 07:00:00,2.7535
2019-03-30 08:00:00,3.1491
2019-03-30 09:00:00,7.0092
2019-03-30 10:00:00,6.0279
2019-03-30 11:00:00,3.9867
2019-03-30 12:00:00,3.0793
2019-03-30 13:00:00,2.5014
2019-03-30 14:00:00,1.9677
2019-03-30 15:00:00,1.5294
2019-03-30 16:00:00,1.7477
2019-03-30 17:00:00,2.1657
2019-03-30 18:00:00,1.8871
2019-03-30 19:00:00,1.4883
2019-03-30 20:00:00,1.6436
2019-03-30 21:00:00,2.4868
2019-03-30 22:00:00,3.6333
2019-03-30 23:00:00,2.6754
2019-03-31 00:00:00,2.4714
2019-03-31 01:00:00,1.6213
2019-03-31 01:00:00,1.0338
2019-03-31 03:00:00,0.5082
2019-03-31 04:00:00,0.7273
2019-03-31 05:00:00,1.5581
2019-03-31 06:00:00,2.8089
2019-03-31 07:00:00,7.6089
2019-03-31 08:00:00,10.8786
2019-03-31 09:00:00,7.2311
2019-03-31 10:00:00,5.2222
2019-03-31 11:00:00,3.4354
2019-03-31 12:00:00,2.6424
2019-03-31 13:00:00,2.2808
2019-03-31 14:00:00,1.9175
2019-03-31 15:00:00,1.6672
2019-03-31 16:00:00,1.3744
2019-03-31 17:00:00,1.0849
2019-03-31 18:00:00,1.2358
2019-03-31 19:00:00,1.3367
2019-03-31 20:00:00,1.814
2019-03-31 21:00:00,1.5681
2019-03-31 22:00:00,1.5104
2019-03-31 23:00:00,1.5685
2019-04-1 00:00:00,1.931
2019-04-1 01:00:00,2.0176
2019-04-1 02:00:00,1.8616
2019-04-1 03:00:00,1.4756
2019-04-1 04:00:00,0.9591
2019-04-1 05:00:00,0.5546
2019-04-1 06:00:00,0.4203
2019-04-1 07:00:00,2.0667
2019-04-1 08:00:00,6.5436
2019-04-1 09:00:00,8.4347
2019-04-1 10:00:00,7.2289
2019-04-1 11:00:00,5.4032
2019-04-1 12:00:00,4.2041
2019-04-1 13:00:00,3.7888
2019-04-1 14:00:00,3.6091
2019-04-1 15:00:00,3.351
2019-04-1 16:00:00,2.8854
2019-04-1 17:00:00,2.6997
2019-04-1 18:00:00,2.8822
2019-04-1 19:00:00,2.9929
2019-04-1 20:00:00,2.884
2019-04-1 21:00:00,2.642
2019-04-1 22:00:00,2.9298
2019-04-1 23:00:00,4.0489
2019-04-2 00:00:00,2.4738
2019-04-2 01:00:00,1.823
2019-04-2 02:00:00,0.9939
2019-04-2 03:00:00,0.7892
2019-04-2 04:00:00,0.6037
2019-04-2 05:00:00,0.4783
2019-04-2 06:00:00,0.636
2019-04-2 07:00:00,1.4778
2019-04-2 08:00:00,2.6017
2019-04-2 09:00:00,3.8793
2019-04-2 10:00:00,2.8958
2019-04-2 11:00:00,3.9187
2019-04-2 12:00:00,6.7578
2019-04-2 13:00:00,7.6571
2019-04-2 14:00:00,6.7099
2019-04-2 15:00:00,5.7821
2019-04-2 16:00:00,4.1283
2019-04-2 17:00:00,2.8418
2019-04-2 18:00:00,1.8023
2019-04-2 19:00:00,1.3016
2019-04-2 20:00:00,2.0844
2019-04-2 21:00:00,3.1103
2019-04-2 22:00:00,2.7744
2019-04-2 23:00:00,1.8071
2019-04-3 00:00:00,0.6973
2019-04-3 01:00:00,0.5449
2019-04-3 02:00:00,0.4391
2019-04-3 03:00:00,0.3785
2019-04-3 04:00:00,0.2944
2019-04-3 05:00:00,0.2759
2019-04-3 06:00:00,0.2293
2019-04-3 07:00:00,0.5057
2019-04-3 08:00:00,0.5762
2019-04-3 09:00:00,1.1222
2019-04-3 10:00:00,
